id,tweet
1390101555953561602,"Hello @Tejasvi_Surya ,   3 people named Venkata Subba Rao, Manjunath and Punith have been arrested for extorting money from a COVID patient for ICU beds in Bangalore.  Now read out their name before Media!   #DiaperSuryaExposed"
1390064543930327040,In urgent need of ICU bed in Bangalore for patient with neuro disorder. Antigen is negative but XRay suspects covid. Immediate help is highly appreciated. BBMP not entertaining without RT-PCR report. @WeAreBangalore @DHFWKA @sonalasthana
1390047561830961152,"#Bangalore #SOS #ICU #Bed #Urgent #COVID #Help #Leads #India   1. Patient Name : Usha Gupta 2. Age : 69 3. Area / location: Indiranagar Bangalore 4. Symptoms : breathing problem, Saturation level 70 No hunger 5. Since how many days :9 days 6. SPO2 Level : 70 (1/2)"
1390041804012236806,"Bangalore: Urgent COVID ICU bed🙏  Patient: KASHIF AHMED, Age 33  Lung infection (17/19), milk wheezing and breathlessness without ox support   SPO2 :  85 - 88% with support  Patient in: P D Hinduja SindhI Hospital, Ward: 306  BU-679783, SRIF: 2952511000666  Mob: 7892980741"
1390029858353254401,"4.Symptoms infection in Lungs 5.SPO2 (Oxygen %):  81, 82  with oxygen support  6.BU NUMBER: BU 671460 7.COVID result: positive 8.SRF Id : 295251129854 9.Attendant name: Mufeeda 10.Attendant mobile number: 8050450455 11.Co-morbid conditions:  12.Type of Bed Required: icu with ven"
1390023372617097222,"One of my friend's aunt is COVID positive in Bengaluru. She is critical and need an ICU bed with Ventilator. @sosiyc @IYC_India_ @srinivasiyc Please help her. She is in Railway Hospital, Yelahanka. Her oxygen level is 78% #SOSIYC #CovidSOS @AleemSh40550016"
1390023130568032258,Deleting my last tweet as we found an ICU bed. Thanks much. .  https://t.co/3nHMOXnch0
1390020755249786884,We got the ICU bed in Apollo hospital bannerghatta just few mins back. Thank you everyone.  @nikhilchinapa @Mahesh170991 @MalharBarai
1390018954987405312,"@nikhilchinapa @Mahesh170991 @deepika_s09 @peakbengaluru @MalharBarai @covidhelpblore @_stellarqueenie @burgerbang @DanishSait @covidbangalore @darrencaldeira Hi, she was talking to Apollo hospital guys and thats why the no was coming busy. We are taking the patient there right away as they have an ICU bed available there . Thanks much"
1390017626647056386,"@Kaalateetham @aiims_newdelhi @prasadaditi @htTweets Sir, my mother is covid positive and has no symptoms. Her oxygen level today dropped to 85. Is there any ICU bed available as BBMP is not able to allocate one."
1390015232555192320,"Patient Name : Mrs Rashmi,40yr  Rajajinagar Breathing Difficulty 2days SPO2:86-88 Searching for ICU bed Hospitals Visited: 3+ Covid: Negative Mobile No:9980936726 Brother SRF ID:2952511945 BU Number:Not generated CT Severity:30/40 @WeAreBangalore @BBMPAdmn @OberoiD"
1390013722224037890,"Patient Name : Mrs Rashmi,40yr  Rajajinagar Breathing Difficulty 2days SPO2:86-88 Searching for ICU bed Hospitals Visited: 3+ Covid: Negative Mobile No:9980936726 Brother SRF ID:2952511945 BU Number:Not generated CT Severity:30/40 @Tejasvii_Surya @BbmpsplHealth @BBMPSWMSplComm"
1390012094620176384,"Patient Name : Mrs Rashmi,40yr  Rajajinagar Breathing Difficulty 2days SPO2:86-88 Searching for ICU bed List of Hospitals Visited : S S Sparsh hospital &amp; 2 more Covid: Negative Attender Mobile No :  9980936726 Brother SRF ID:2952511945 BU Number: Not generated @TeamNamma"
1390010926372298755,Urgent help needed for ICU bed with ventilator Patient name- Rita Mishra City - Bangalore Age 45 Symptoms Covid+ O2 level 65-70 Condition : On oxygen bed in KIMS. Doctors advised to transfer to a ventilator. She is struggling now. Contact- Swati 9741889720 Ryan 9900069835
1390007234533498880,"@RKRadhakrishn PJ: covid- no oxygen, no beds, no icu beds.. full problem, govt is not responding, govt is senseless, modi should rejine....  After 2 days, govt(surya) takes action and beds available partial help  PJ: surya is communal, govt is senseless, govt is hopeless, modi should rejine..."
1390003864070356996,"@wokaynotwokay @jeevandayni @megirish2001 Patient name: Shivendra Pande Age  35 Stats: Bp 160/90 Fyo2 100  saturation 90 Heart rate 110 Peep-10 Condition: ICU, on ventilator for over a week, Covid+ too fragile, lungs damaged Location: Medanta Hospital, Lucknow Contact: Molly 99998883340 Need ecmo machine"
1390002053813055489,12. Covid Result (+ve/-ve/Awaiting) :+ve 13. Prefer Govt/Pvt/Any Hospital ?: Pvt 14. Attender Name: Mubbasshir 15. Attender Mobile No: 9980192125 16. Relation to the Patient: Son 17. SRF ID: 2952511604405 *18. BU Number:*778200 2/2 @Tejasvi_Surya  Can you help us get a ICU bed
1390000675816304640,Govt’s Covid bulletin stops listing ICU data ....why now this ? ⁦@mla_sudhakar⁩ ⁦@BSYBJP⁩ ⁦@Tejasvi_Surya⁩ ⁦@BBMPCOMM⁩   https://t.co/3yVE62TMeF
1389998103340535814,"@Tejasvi_Surya Hi sir, we need a help  My aunty is COVID positive saturation is 75 she is in very critical condition from 2 days we are trying for icu bed in hospitals but we are not getting anywhere please help us 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻"
1389998028262723584,"Dear Sir, we are in need of help.... Need an ICU bed with ventilator for Covid positive.🙏🙏🙏🙏 1.Patient Name : Gnanamani 2.Age:55 3.Location :Bangalore 4. Mobile :- 8884142772 5. Contact person :Vinij  6. SRF ID:- 2952511883158 7. BU no:-869522 @SonuSood @SoodFoundation"
1389997654248017923,"#SOSBangalore Friend's mother is in ICU, urgently needs #Remdesivir. Suspected covid, though tests show -ve .(Caregiver : 9845306253) .Please help 🙏🙏. @BBMPCOMM @CovidKarnataka @drashwathcn @mla_sudhakar  https://t.co/k4QDzsDcgN"
1389994363304890373,"@Tejasvi_Surya @msrbommanahalli Hi Sir, I am trying to get a Covid ICU bed for my mother and unable to reach Bommanahalli covid control room number as it gets disconnected. Can you please provide your help with this.Her saturation levels are dropping to 85 and need help"
1389987775336771586,"Urgently need plasma of *A+ blood group* in Bareilly for a covid ICU patient.  Patient: Madhu Gahlot Hospital: Shri Ram Murti Smarak IMS Contact person: Prateek Sai Gahlot (Son) Contact number: 7016603367, 9512742537 @narendramodi @TOIBareilly @covid19indiaorg @PlasmaDoners"
1389983764395085824,Bangalore  NEED ICU BED URGENTLY  Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah  @BJP4India @Tejasvi_Surya
1389983690776727557,Bangalore  NEED ICU BED URGENTLY  Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah
1389983015112114178,"@SonuSood looking for an icu bed for critical covid patient in Shimoga, karnataka please help me amplify"
1389982519181733888,"@zoo_bear looking for an icu bed for critical covid patient in Shimoga, karnataka please help me amplify"
1389982329876058118,Any hospital require ICU bed and ventilator Contact: 9448116456 Son SRF:2952511717609 BU: 809205 PLEASE HELP! COVID SOS.
1389982326239596550,"@rameshsrivats looking for an icu bed for critical covid patient in Shimoga, karnataka please help me amplify this request"
1389982299358257154,@TarakFanatic Any one affected from covid-19 needs *Bed* *ICU Bed* *Oxygen Cylinders* *Oxygen Concentrate* can inform me. I am part of Yuva Raksha from M P TEJASVI SURYA office as volunteer indirectly.  R.C.Kantharaj  *+91 98860 67078* *+91 93416 67078*
1389981456349368322,@Offtejasvisurya please help  Bangalore  NEED ICU BED URGENTLY  Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah  CALL 7022743007 or +91 76762 94755
1389981381208334338,@Offtejasvisurya  Bangalore  NEED ICU BED URGENTLY  Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah  CALL 7022743007 or +91 76762 94755
1389981252426428420,"35 year old Dhiraj Mishra from Mahadevapura , covid positive, saturation is dropping, it's around 85 now . Kindly help with ICU bed at the earliest  Patient mobile No  8904928477  BU # 830386  #BangaloreSOS  @ArvindLBJP #CovidHelp"
1389981221237657604,Bangalore  NEED ICU BED URGENTLY  Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah  CALL 7022743007 or +91 76762 94755   @Tejasvi_Surya @CMofKarnataka @BJP4India @BJYMKarnataka @NSUIKarnataka @SonuSood @karnataka_team
1389980553886064640,"Visited Covid centre.Discussed about the oxygen levels in patients, when should the patient be shifted from an Oxygen bed to an ICU Bed. Pharmaceuticals equipments used by them to treat different type of Patients Also,Boosted them to willpower Doctors &amp; Staff must be appreciated.  https://t.co/43SLR8uQJh"
1389977749033414666,@TarakFanatic Contact below details kiran  Any one affected from covid-19 needs in blr *Bed* *ICU Bed* *Oxygen Cylinders* *Oxygen Concentrate* can inform me. I am part of Yuva Raksha from M P TEJASVI SURYA office as volunteer indirectly. R.C.Kantharaj  *+91 98860 67078* *+91 93416 67078*
1389972605810085890,"@INCIndia MLA from Jayanagar constituency @Sowmyareddyr sat on dharna in front of joint Commissioner office of @BBMPSouthZone demanding #Beds, #ICU to clear #OxygenCrisis and #Ventilators to the covid patients.   Imagine common man condition  https://t.co/1djY6PL4ZA"
1389972276385173506,BANGALORE  Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah  ANY LEADS FOR ICU BED ?  Call 7022743007 Please it’s URGENT  #SOSBangalore #covid #COVIDEmergencyIndia  @covidres_in
1389971737048059906,ICU AND OXYGEN BEDS AVAILABLE #Delhi #CovidIndia  AIIMS trauma centre - 01126731109 They are admitting ppl based on the criticality. 2 icu beds available  Normal and oxygen beds also available. Need to visit covid screening area near AIIMS emergency  Verified at 8:20 pm 5/05
1389971456746942464,@covidres_in @MdAqheel @VarshaJ08316757 @Bhand_Engineer @HaramiParindey Name : Madhu  Age : 62 Covid + Admitted in Ms Ramiah   Need ICU Bed urgently
1389966956090982414,"@DKShivakumar good evening sir, I'm filled with pain and grief burying dear ones, any how people are dying at home without ICU ventilator beds, please intiate a dharna, with all the Covid positive and protest before CM house and all BJP leaders house, let people die infront them"
1389965863617384454,"@nhm_assam @BarpetaNhm @KokrajharNhm  Urgently require leads on Covid ICU in Barpeta, Basugaon area. Patient is a senior citizen and critical. Thanks"
1389961633842143236,@Jay_Chow11 @himantabiswa @sarbanandsonwal @nhm_assam Clarification - Require Covid ICU
1389960769500966916,"@COVResourcesIn Hey, can you guys provide any leads for Covid ICU for lower Assam ? Urgent need for critical patient."
1389960211079647233,"Kindly help 🙏🏻  Patient Name : Mohammed Zafar.  Age : 36.  Urgently need ICU Oxygen Bed. SpO2 70   (Waiting for Covid test result).  Location : HK Alipur Hospital , Alipiur ,Chickabalapur Dist, Karnataka.  Attender Number : 9880685090.  @DHFWKA @mla_sudhakar @BNBachegowda_MP"
1389959905033875457,"@Tejasvi_Surya Hi Sir, My aunt is diagnosed with covid since 11 days and her SPos is 80 , we need a bed with ICU. Since afternoon we are searching for beds, but we are not getting it. Did not get response from 1912. On 108, nobody is picking up the call. BU no: 724927"
1389958147108859905,ICU with ventilator bed needed for a relative in Mysore. Name - Shashidhar Age-65 SPO2- 65 Covid Positive   Please help @Tejasvi_Surya @srinivasiyc @AshwiniMS_TNIE @Tej_AnanthKumar @Offtejasvisurya @Bkrs_Rakshith @PonnathPuraaNa @BLRrocKS
1389955214828924933,"I can't even begin with how bad things are at college. A student lost her father, her uncle, and her mother is battling for life in the ICU. Another asked to be excused from class because she was COVID positive along with the rest of her family and was struggling to find beds"
1389955103621226498,"Live status of Covid beds in Jamshedpur, Jharkhand compiled by XLRI .  https://t.co/A8DU8UWleX  0 ICU Beds and 0 Ventilator Beds and Jamshedpur is supposed to cater 3 districts.  https://t.co/sVsyZPDJ3b"
1389951516975374345,"day 9. List of Hospitals Tried/ : Numerous  10. Hospital Preference : Any  11. If already admitted, Consulting hospital  name:  12. Consulting doctor name and number :  13. ICU used previously(Y/N), if yes, which type : ICU 14. *Covid Result* : Positive 15. *"
1389943433159086084,"Urgent need for ICU, please Amplify!  #bangalorecovid #BengaluruSOS #bangalore #COVID19 #COVIDEmergency2021 #coronavirus @Suriyamanoher_S @RakshaRamaiah @NammaBNP @peakbengaluru @WeAreBangalore @alokkumar6994  https://t.co/4p9PWUzPXC"
1389938791247355907,"these 205 people were outsourced by Crystal info system &amp; Service which was recommended by BJP Minister. Converted HAJ BHAWAN into 140 bedded oxygenated Covid care and 50 ICU are being set up at the cost of Haj committee fund, 90% of occupancy in Haj Bhawan is our brothers"
1389938098167967745,Need icu bed for my friend father non covid patient @BBMPCOMM @Tejasvi_Surya plz help him Laxman contact no. +91 821-7797127 / +91 95381 24763. @deepolice12 sir @BSYBJP sir I ll help . He is in oxygen support need bed .
1389935942404755457,This person is deteriorating and needs an ICU bed #urgently. This is a friend of a friend of mine. @darthdevi @FittestGeek @MotwaniSuhas @TheProductfolks   #covid #covidICUBedNeeded #icubed #bengaluru #bangalore  https://t.co/wf5oHMSkaY
1389922594149715968,"Need #plasma for  Patient name:- Sudha jajodia Age:- 60 Blood group- O+(positive) Hospital- I.B smriti, diggi, darbhanga, #Bihar Patient Condition: Serious, in #ICU Contact-9911164861 #COVID #help #retweet"
1389917071484542981,@kshithijaa @_devilzguru_ @Sanginamby Yes it’s communalising ..They we’re appointed as additional staff by bbmp itself..He wants to create communal unrest and he succeeded because our andh bhakts will never changeASK HIM TO WORK IN ICU OF COVID GOVERNMENT HOSPITAL INSTEAD OF WARMING UP HIS SEAT IN AC ROOM
1389916031234330629,@flankerstrikes @Mohammed_Shaik7 @_devilzguru_ @Sanginamby Ok then let all sanghis join covid war rooms and serve covid patients in icu of government hospitals starting from Tejaswi surya rather than sitting in comfort of his AC room
1389915324686999556,@TimesNow @Tejasvi_Surya #shame be a responsible media stop Hindu Muslim communal unrest.People are dying and this stupid guy has guts to create communal unrest let him serve the covid patient in icu of any government hospitals rather than sitting in comfort of his house
1389911081854803971,"Patient: Praveen Kumar,age 32. Tested covid positive, low O2 levels. He urgently needs an ICU bed with ventilator in any hospital in Bangalore. He’s my ex colleague.  Contact no: 8839230355(His wife Pamela)  Pls help #BJYMCares  @BJYM @surnell @Tejasvi_Surya @mepratap pls amplify"
1389910854292754434,@Offtejasvisurya ICU bed required for Narendra Kumar effected with covid. Bu details bu879791  Phone # 9900057523
1389908492157296640,@BajpayeeManoj   ICU ventilator and remdevir Patient Name : Praveen Kumar Soni Age : 32 Area : Anywhere in Bangalore Is patient on Oxygen Cylinder ? : YES Covid : POSITIVE SRF ID : 2952511127182 BU: 651980
1389905494207127559,Guys need of a ICU beds in #Bengaluru pls give lead   Already lost two in two days without helping   Feeling guilty   Pls stay together and get a lead #covid
1389905021102395392,@tiscatime ICU ventilator and remdevir Patient Name : Praveen Kumar Soni 1. Age : 32 2. Area : Anywhere in Bangalore 3. Since : 6 days 4. SPO2 Level : 87 5. Covid : POSITIVE 6. Perfer Gov/Pvt/Any Hospital : Any 7. Attendet Number : 8839230355 (Pamela) 8. SRF ID : 2952511127182 9. BU: 651980
1389893577598111745,"@Tejasvi_Surya  looking for bed availablity. This might be helpful to someone. Hello Everyone, Any one affected from covid-19 needs *Bed**ICU Bed* *Oxygen Cylinders* *Oxygen Concentrate* can inform me. I am part of Yuva Raksha from M P TEJASVI SURYA office as volunteer indirectly"
1389886295036502018,@varadadya @DVSadanandGowda Got thison WA. Please check. Any one affected from covid-19 needs Bed ICU Bed Oxygen Cylinders Oxygen Concentrate can inform me. I am part of Yuva Raksha from M P TEJASVI SURYA office as volunteer indirectly.  R.C.Kantharaj  +91 98860 67078 +91 93416 67078
1389878664087568384,"One eg: “Hello everyone, Any one affected from covid-19 needs emergency *  Bed  * ICU bed  can inform me I am currently working with Yuva Raksha from MP TEJASVI SURYA office as volunteer. NISHANTH M V CONTACT NO: 7022716799, 8073014218”"
1389877465267400705,"We are looking for #OxygenBeds  in a multispeciality hospital with #ICU #Ventilator for my cousin 35 weeks #pregnant #covid positive since 8 days, and saturation around 85, in #Bangalore Please help at @Tejasvi_Surya @bbmpcommr #BBMP #CovidSOS .contact 9717172871"
1389869492763652100,"@Tejasvi_Surya is this information valid? Should not start another racket -- Any one affected from covid-19 needs emergency *  Bed  * ICU bed  can inform me I am currently working with Yuva Raksha from MP TEJASVI SURYA office as volunteer. NISHANTH M V  7022716799, 8073014218"
1389859224994205696,12. Covid Test Done? :Yes 13. Covid Result : +ve 14. Prefer../Any Hospital? : Private 15. Type of bed required - without oxygen/with oxygen/ICU/with ventilator : with Oxygen 16. Attendee Mobile  : 87544 29723 17. Relation to the Patient: Wife 18. CT scan and its score:13/25
1389857937917501440,@Tejasvi_Surya.. Pls validate  Any one affected from covid-19 needs *Bed* *ICU Bed* *Oxygen Cylinders* *Oxygen Concentrate* can inform me. I am part of Yuva Raksha from M P TEJASVI SURYA office as volunteer indirectly. R.C.Kantharaj  *+91 98860 67078* *+91 93416 67078*
1389855858285182980,"@Tejasvi_Surya @Dhichkyaaon @Product_nation Sir not only wrt booking, require to increase the infrastructure of ICU beds. Support groups have atleast 100+ calls for icu beds requirement. Pls make it possible to set up a Covid center dedicated only for icu beds, in one of the existing center itself @nikhiljoisr @slangaluru"
1389852775073284096,Govt’s Covid bulletin stops listing ICU data  https://t.co/cqxH8MMb73
1389846666677604356,"@Tejasvi_Surya @adikulk @NandanNilekani We have atleast 7-8 pending icu / ventilator requirements for one support group team. There are atleast 8-9 like this. There are absolutely no ICU beds availabile. Is there a possibility to set up a certain only ICU beds in a Covid center???  The calls are just rising, Sir."
1389843562209038340,@Saksham02470243 (2/2)Covid results - positive  Preferred hospital with ICU and ventilator Attender no - 9880768433/8050201265 Relation to the patient - brother Srf id -  2952511465172 Bu no - 727003
1389843017071165446,@k_scribes @ARanganathan72 Got this as a whatsapp forward.  Any one affected from covid-19 needs *Bed* *ICU Bed* *Oxygen Cylinders* *Oxygen Concentrate* can inform me. I am part of Yuva Raksha from M P TEJASVI SURYA office as volunteer indirectly.  R.C.Kantharaj  *+91 98860 67078* *+91 93416 67078*
1389842790956224512,⚠️Emergency!⚠️ Require ICU Bed with Oxygen Support for friend's dad in Bangalore. Please respond if you have any leads. It's an emergency.   #covid #covid19 #leads #bangalorecovid
1389839048986955780,"@Tejasvi_Surya @NandanNilekani Tejasvi, what took you and the BJP government so long to revamp BBMP bed allocation? Covid has spread all over the city because the BJP government did not take quick action and build oxygen plants, make shift ICU beds and crematoriums for the dead?"
1389836777951666176,"GOI should have a dashboard with live streaming of Covid stats, oxygen stats, covid medicine stats, ICU bed stats."
1389834233540059137,"@Tejasvi_Surya @NandanNilekani Hey! I created a bot that retweets all tweets with #COVID_BLR_BOT every minute and runs 24/7. People from Bengaluru can use this to propagate their tweets farther and get help regarding oxygen, icu, beds etc asap. It was created today and please spread the message to everyone!"
1389824180439306245,"@bigger_lebowsky @Tejasvi_Surya @BSYBJP Any one affected from covid-19 needs emergency *  Bed  * ICU bed  can inform me I am currently working with Yuva Raksha from MP TEJASVI SURYA office as volunteer. NISHANTH M V CONTACT NO: 7022716799, 8073014218"
1389820202288762880,"@SonuSood Patient name- Brijlata Goyal  Age-65 Address- jaipur , rajasthan Attended name :Gaurav Goyal Attender ph no -9461915302/8904795799 Issue- critical covid Oxygen level-36-45 HRCT -15/25 Requirment request- hospitalizations with ICU facility with ventilator"
1389818787717816320,"Patient name- Brijlata Goyal  Age-65 Address- jaipur , rajasthan Attended name :Gaurav Goyal Attender ph no -9461915302/8904795799 Issue- critical covid Oxygen level-36-45 HRCT -15/25 Requirment request- hospitalizations with ICU facility with ventilator"
1389817042342014978,"Urgent requirement of ICU oxygen bed with ventilator in Bangalore  Name - Shubra Sarkar  Age - 60 yrs Blood Group - O+ Sex - female Requirement- icu oxygen bed Spo2 - 60 without mask, 80 with tight mask  #ICUBed #Oxygen #CovidSOS #Bengaluru #Covid #VentilatorBed"
1389814831918632960,Requirement: ICU bed Delhi NCR Severe Breathlessness Patient Name: Kumud Arora Age: 59 Spo2: 87% with 20 lts of oxygen  Symptom: Covid CT Scan: 24/40 Currently at:Mobile oxygen tank Attender Name: Hardeep Arora Relationship: Husband Contact: 8527919234 SRF ID: 0708200890756
1389814803934322688,"@drashwathcn @BSYBJP @BJP4Karnataka @DHFWKA @PIBBengaluru @ddchandanabng @airnews_bang @VVani4U Dear Sir  Need your kind help in Getting ICU bed at #Ramanagara. Dear All Kindly Help for ICU Bed   Patient- NAVEENA T(32,M),   SRFNo- 2963100245610  Covid- -Ve.   CT is - Positive.  At Ramanagar Govt Hospital No ICU Bed.   Kindly Arrange ICU bed.   Attendees No- 9844712695  https://t.co/3TmiszQwq2"
1389806621161771011,"@AshwiniMS_TNIE @Offtejasvisurya Hello everyone, Any one affected from covid-19 needs emergency *  Bed  * ICU bed  can inform me I am currently working with Yuva Raksha from MP TEJASVI SURYA office as volunteer. NISHANTH M V CONTACT NO: 7022716799, 8073014218   https://t.co/wxVCzECWG6"
1389804185432981510,A colleague's family member needs an ICU bed with Oxygen support (anywhere in Bangalore) on an urgent basis. He has tested negative for covid but has all the symptoms.   #SOSBangalore #SOSIYC #COVIDEmergencyIndia
1389795106467631107,Bengaluru bed shortage for COVID-19 patients has not changed much. People are still making desperate pleas for ICU and ventilator beds on various volunteer groups. City's Covid helpline 1912 keeps patient's kin on hold for not less than 25 minutes. @TOIBengaluru #BBMP #bedscam  https://t.co/bPK0wvAXTx
1389772098881523714,"Patient Name :  Nagarathinam K Age : 59 Location : Indiranagar Symptoms :fever, UTI,COVID +ve needs ICU BED SPO2 Level :less than 70 Is patient on Oxygen Cylinder ? : No Covid Result  :+ ve Attender Mobile No : 9886648037 Relation to the Patient : Son #Bengalurucovid  #ICUBed"
1389768915102826497,#ICUBedNeeded @krishnadgoap @AndhraPradeshCM  My brother in law is infected with COVID 19 and Oxygen levels are being dropped. We are in Vijayawada and looking for ICU bed.  Please help me immediately and my mobile number - 9502033055.
1389763465753989123, https://t.co/CYTpqbSK1L.John's has opened up 1250 beds 729 are BBMP...Call 1912 or 108 to book a bed through BBMP.  2.KC General Malleswaram has 200 Covid beds and 100 ICU ventilators available if anyone needs. Contact - 080-23344022  Please register through BBMP
1389755213771276294,@vivekshukla @JyAnap_PrApthi @nagarjund @Tejasvi_Surya Have u seen complete 1.5 hous video?  You don't understand it. Whole karnataka ppl watched it &amp; got to know who is behind this.  Jihadis/ congressis are behind this. There should be a CBI enquiry on this &amp; arrest all of them &amp; should put them into covid icu rooms without mask.
1389744467830214657,"@CheeniChinz @SonuSood .@IAF_MCC to set up a 100 bedded COVID treatment facility at Air Force Station Jalahalli in Karnataka.   The facility will be operational on May 6 with 20 beds and oxygen concentrators.   There will be 10 ICU beds and 40 beds with piped oxygen, 50 beds with oxygen concentrators."
1389743821559197699,"@prash0996 @Tejasvi_Surya @BBMPMahadevpura .@IAF_MCC to set up a 100 bedded COVID treatment facility at Air Force Station Jalahalli in Karnataka.   The facility will be operational on May 6 with 20 beds and oxygen concentrators.   There will be 10 ICU beds and 40 beds with piped oxygen, 50 beds with oxygen concentrators."
1389743488934191105,"@SindhuRao_ @peakbengaluru @nikhiljoisr @WeAreBangalore @Tejasvi_Surya .@IAF_MCC to set up a 100 bedded COVID treatment facility at Air Force Station Jalahalli in Karnataka.   The facility will be operational on May 6 with 20 beds and oxygen concentrators.   There will be 10 ICU beds and 40 beds with piped oxygen, 50 beds with oxygen concentrators."
1389742222942240769,"@RohitGu76192880 @Venknar @gcmouli @avarakai .@IAF_MCC to set up a 100 bedded COVID treatment facility at Air Force Station Jalahalli in Karnataka.   The facility will be operational on May 6 with 20 beds and oxygen concentrators.   There will be 10 ICU beds and 40 beds with piped oxygen, 50 beds with oxygen concentrators."
1389742088124702720,"@JeevanDev7 .@IAF_MCC to set up a 100 bedded COVID treatment facility at Air Force Station Jalahalli in Karnataka.   The facility will be operational on May 6 with 20 beds and oxygen concentrators.   There will be 10 ICU beds and 40 beds with piped oxygen, 50 beds with oxygen concentrators."
1389739938665488384,"@pranasutra Let's see some action, not just bravado.  I tweeted about one oxygen  cylinder going rate is INR. 30k.  This scam is an open secret when attenders to ambulance to BBMP to even getting the cremation done quickly.  I know this first hand as my mother was in Covid icu, passed away."
1389687618149908480,"#urgent Need an ICU bed in Delhi for covid patient  Age 43 yrs, condition very critical #SonuSood #AAP #RaghavChadha"
1389669519707176960,"Hey Everyone! Given the horrible Covid situation in Bengaluru, I'm pausing Sightings at JLR tweets and will be retweeting the tweets of those who are looking for help in finding oxygen, hospital beds, icu's ,etc (1/2)"
1389658318063345672,"(no icu bed with ventilator from last 6 days) Covid test done- yes Covid result- positive Prefer govt/private/any hospital- any Attender mobile no- 8904714167(chandni) 9342777301(Sanjay) Relation to the patient -daughter, son in law Srf id- 2952511482762 Bu id- 744448"
1389657607585951744,"@jakekchacha @deepakmrd27 @BidariSreenivas @Tejasvi_Surya Sir, I'm doing covid volunteer work since last year in Bangalore. Once 02 level dropping below 80 Dr. advising to patient attender to arrange ICU bed. Kindly request to you don't communalize this issue. Its 100% BJP Govt failure."
1389647738413850631,@Tejasvi_Surya @Offtejasvisurya - Kindly help one patient with 70% lung infection detected with COVID needs a ICU bed with oxygen  Contact Number - +91 98806 96456
1389639174022602754,@gunjanjeni @Sowmyareddyr @BSYBJP 8. Searching Hospital ICU Bed Since? Yesterday 9. List of Hospitals Visited: Admitted at PROMED hospitals for covid 10. Covid Test Done? (Yes/No): yes 11. Covid Result (+ve/-ve/Awaiting): RTPCR +ve 12. Prefer Govt/Pvt/Any Hospital? Any Hospital 13. Attender Mobile No: 9845653593
