label,id,tweet
o,1390040925003341825,"Covaxin is not available in all the Govt Hospitals in Karnataka, people are panicking for 2nd Dose @CMofKarnataka @PMOIndia @mla_sudhakar @blsanthosh @drharshvardhan @RAshokaBJP @narendramodi @drashwathcn @Tejasvi_Surya @CTRavi_BJP #vaccination #BharatBiotech"
o,1389961331256725511,The Deputy Commissioner of Mysuru Rohini Sindhuri has clarified that she neither rationed nor controlled #oxygen supplies to Chamarajanagar. #OxygenShortage #OxygenEmergency #COVID19 #CoronaSecondWave   https://t.co/DE3JfegyBl
o,1389236530066169856,"@AJAYAWASTHI108 @GarimaHirwani @ArvindKejriwal @TajinderBagga @CMODelhi दिल्ली में परिवार में दो लोगो की बेड ना मिलने से मौत होगई, तीसरा कोविड मरीज hospital में बेड के लिए संघर्ष कर रहा है ! ऑक्सीजन लेवल कम हो रहा है !   *मरीज का नाम* Tanvi Rastogi  *उम्र*   27 📞मोबाइल नंबर 9899782833 @RubikaLiyaquat ji pls help  @drsangitareddy @chitraaum"
o,1389119791915442176,So apparently a player went to a Hospital for scans  and Varun and Sandeep have tested #COVID19 Positive. Sheer Negligence by KKR management to allow these two players back inside the bio bubble. BCCI should impose a heavy fine on them. #ipl2021 #KKRvsRCB
o,1390023512509673472,"@utkarshtalks @saichopparapu I got vaccinated at the same hospital on Tuesday at 9 am. By 7 pm I was feeling fatigue, by 10 pm had fever, headache and body ache. Carried over to the next day but completely fine but Wednesday late night"
n,1388758615511601155,"12. Covid Test Done?: Yes  13. Covid Result: Negative 14. Prefer../Any Hospital?: Apollo greams Road or any facility with ventilator 15. Type of bed required  : With ventilator 16. Attendee Mobile: 9840923609, 9500090754 17. Relation:  Wife 18. CT Score : 16 19: No comorbidities"
o,1389211045219115008,@siddaramaiah Leave the resigning part aside... First help those in need... Those people resigning now won't provide oxygen to the needy... What r u guys doing other than blaming the govt in twitter??  Be helpful or keep quite... dont do politics at this time atleast!!
o,1389288714774323200,Thank you for your help everyone! He got bed in one of the private hospital at ashram road.
o,1388342763016515584,Don't pay extra money for  Hospital beds Injection ICU   Inform if they are doing so to government officials @KTRTRS @RaoKavitha @AskAnshul @cricketaakash @harbhajan_singh @thebharatarmy @TheOnlyBrahma @murthyscribe #CovidIndia
o,1389190947590656004,"India continues to make news worldwide - of course for mostly wrong, terrible reasons..  👉Court threatens federal government over oxygen failure  https://t.co/P8Qj264bln"
o,1389885837253373952,@accountant_28 @ANI Well they did by not supplying the amount of Oxygen court asked them to supply after a mutual agreement. I believe the bedrock of democracy is rule of law which means we need independent judiciary. Once judiciary becomes independent of political winds we won’t see such deaths.
o,1389434344645664769,@skjsni @IndiaToday Lakhs of Indians infected and thousands dying of Covid and no oxygen in sight and all the BJP chief thinks of is how to teach a lesson to Mamata Banerjee. Shame! Nation will remember the neglect of people.
n,1389139032815271938,"@SonuSood Sir , could you please look into the below issue. Hi All, Ventilator is required urgently for an elderly woman 75+ age in Shrinivas hospital,Hazaribagh Jharkhand.Her oxygen level is 61 right now. And ventilator is required as soon as possible It is very URGENT. PLEASE HELP"
o,1389850132343005185,@PrachiPagaria @srinivasiyc @yuvahallabol @anuradhaxyz This hospital is not in Delhi. It’s in Pune
o,1389604751495471112,Good evening @narendramodi @nsitharaman @PiyushGoyal @PMOIndia @FinMinIndia  How about using your powers to exempt ALL items that would be imported by charity organizations until the country has sufficient stocks of all the items that can aid the recovery of Indians in hospital.  https://t.co/tW506hZYH1
o,1389233157522616325,#Ambulance #Bangalore #Mysuru #shivamogga #Tumakuru
o,1388750789615575044,Be a super hero wear your mask. Masking is easy and cheaper than a ventilator. 😷🤣😂 #MaskUpIndia #MaskUp #MaskUpSaveLives #BreakTheChain #CoronaSecondWave #CDC #IPL #COVID #vaccination #LetsVaccinate #VaccineFor18Plus #vaccine  https://t.co/H7rPyW3eVl
o,1388507057918152707,Can’t wait for times when all political  VIPs head to hospitals governed by them.... #Government-hospital
o,1389473856163745795,ಆಕ್ಸಿಜನ್​ ಸಿಗದೆ ಬೆಳಗಾವಿಯಲ್ಲಿ ಮೂವರು ಸಾವು; ಆ್ಯಂಬುಲೆನ್ಸ್​ನಲ್ಲಿ ಒದ್ದಾಡಿ ಪ್ರಾಣಬಿಟ್ಟರೂ ಕೇಳುವವರಿಲ್ಲ  #Oxygen #Ambulance #Belagavi   https://t.co/76FQBoQI1J
o,1388703132612390919,Just learnt from its SVP that @kghospital #Coimbatore has a critical oxygen shortage and needs 4K liters everyday.  Can you please help @india_oxygen @MotwaniSuhas @A10Rahul? Thank you.  #missionoxygen
O,1389884510435565571,"#SupremeCourtofIndia Declare National Emergency,,Modi incapable Govt unable to handle covid crisis...people are dying without oxygen."
O,1388347353325662211,"@BLRrocKS @kokolorixx @isha_pant Sir, I don't know if you have seen the fb video, apparently CT scan in Sanjay Gandhi hospital is free and takes no waiting time like Pvt hospitals which are charging 5 to 6k, here it costs just 120/150 rs."
O,1389586627740143626,Panic and fear all around. Fear feeding fear. No oxygen. Deadly mutant virus. Vaccine kills. Take Remedesvir. No take steroid. No do this. Do that. Information without context or insight paralyses people.
O,1388478090993561602,"@maryashakil I request all citizens of India to not vote for BJP ...center increased oxygen quota after court stepped in, every second is important in respiratory distress and Narendra modi is playing dirty politics and literally killing citizens by not providing adequate oxygen despite(1/n)"
o,1389182475566411779,"ಚಾಮರಾಜನಗರದಲ್ಲಿ ಸತ್ತದ್ದು 24 ಅಲ್ಲ, 34 ಮಂದಿ! ಅಧಿಕಾರಿಗಳು ಮಾಹಿತಿ ಮುಚ್ಚಿಟ್ಟಿದ್ದಾರೆ... #oxygen #chamarajanagara #covid #hospital #puttarangashetty  https://t.co/waEE3X7VVE"
O,1389903658213679107,"@IndiaToday @AnkiitKoomar @Tejasvi_Surya , diverting chamrajnagar tragedy and other murder by govt to a communal politics isn’t the solution. You &amp; your govt are equally responsible for every death due to shortage of Oxygen or Medicine anywhere in Karnataka #DiaperSuryaExposed"
O,1389802473989152770,The central government has revised the covid testing rules to reduce pressure on diagnostic labs. Healthy inter-state travellers and Covid patients being discharged from hospitals after recovery must not be tested. #CovidIndia #Karnataka #karnatakalockdown #interstatetravel
N,1388893709463212034,Urgently need Oxygen concentrator. Or oxygen cylinder. Pls help 🙏 @BJP4Delhi @TajinderBagga @ArvindKejriwal #Oxygen #CovidHelp #SOSDelhi #OxygenConcentrator @DelhiPolice
O,1388382926291619842,@Tushar_KN Body builders though considered to be fit and healthy otherwise could be at risk of Covid.Must be their Oxygen requirement being more to support their build up must be the reason.Whereas yoga emphasizes on surviving with minimal breathe.
O,1389272808102916100,"Log oxygen, bed ke liye tadap rahe hain. Saheb apne liye mahal banwa rahein hain."
N,1389841403614666752,"Need oxygen concentrator. Bangalore. Person needs it for his dad, lost his mom to Covid earlier."
O,1388724342758903811,"@tshahab05 No, doubt . It's very sad the @NitishKumar  Bihar Govt, Delhi Govt and Govt of India are equally responsible for his death . Chhota Rajan gets bed with oxygen in AIIMS and an ex MP didn't. What the hell these Govt are doing ? These Hinduvadi Sangathan and Govt have nexus against"
O,1389334225585725440,"@UnkownYash @INCBANSAL Don't worry, they will not continue  https://t.co/rvB0FRNAMd is BJP propaganda. They just lost so they need to divert attention. Hundreds are dying in Delhi due to non availability of oxygen. BJP doesn't even care."
O,1389774171106729985,@BlrCityPolice dear sir. Have an immediate family member who is in her 3 mnt of pregnancy. We are not able to go to hospital here in blr as all hospitals are covid center. Can I take my own vehicle and drop her to her hometown so her hospital consutn is taken care of. Pls guide
N,1389228640458600449,@Tejasvi_Surya Can you or your team arrange one oxygen cylinder and regulator?
O,1389456995695042561,"@IndiaToday We, the people of India do not need nation wide dharna, instead we we need nation wide Covid help, oxygen, ambulances, make shift ICU beds, nurses, doctors, crematoriums and finally sympathetic government which cares for the people. Jadda saab have a heart, forget your dharna."
O,1389445379410644992,"We will push people into the vicious cycle of death. Unable to repay they commit suicides. Who will take the responsibility?  Drafting medical students to duty, Setting up oxygen plants, making medicines or aggressive vaccination does not need a lock-down.  (8/n)"
O,1389891333347700740,@avakava @_sabanaqvi His initiative towards humans dying in Covid is nothing to be happy about.  Its a sorry state of affairs in UP right now.  Shortages of oxygen shortages of beds.  Next election he will get to know the outcome of this covid mismanagement.
O,1389130314572656640,@vikasbha Fraud news. Delhi hospital occupied my UP..
O,1389235424929878018,@samyuktahornad @BSYBJP @DHFWKA @BBMPCOMM @MoHFW_INDIA But they are not asking for refueling of oxygen why? Why shifting to other hospital? I could agree if they written refuel it or shift patients.
O,1389840222117142535,Oxygen: Supreme Court To Hear Today Centre's Plea On Delhi Court Order
O,1389928558965923840,Bed booking Mafia in hospitals being exposed by Bangalore South MP Tejasvi Surya. It is shocking!!! 😡  https://t.co/XynKNrxE8a
O,1388356309083332625,PLEASE REGISTER ON THE CoWIN APP for your vaccination slot.   TAKE AN APPOINTMENT FOR vaccination prior to visiting the hospital. We will be able to vaccinate you as per the appointment slot and as per applicable Govt’s regulations. #COVID19India #COVID19Vaccination  https://t.co/46MgIkYaNs
N,1389904849991524356,"Ventilator bed needed urgently 1. Patient Name : Praveen Kumar Soni
2. Age : 32 Fever,Breathing,Low Oxygen 6. SPO2 Level : 45 
7. Is patient on Oxygen Cylinder ? : Yes
. SRF ID : 2952511127182
14. BU Number : 651980 +918123130401 @Tejasvi_Surya @BBMPCOMM"
G,1389170114411388929,@vikyaditya @mla_sudhakar 8660856709 mercy mission  933045 3857 these people are helping with ventilator oxy etc.  What'sapp them if thye don't pick calls
G,1389781552502951936,"@KhushiSinghCho4 @rapidcovidtext Joshi Nursing home - Chamrajpet has ICU with oxygen beds if saturation level is 80 or more, without oxygen support. CT score should be 15. Above they they cant take as they dont have ventilator. Mobile - 9008260106 #Bengaluru *VERIFIED*"
G,1388608049703571459,#Oxygen can #Lucknow  - 091708 18858  Price Rs.2200 for 8-10 ktrs Can
O,1389794369532665862,Bangalore Medical College : Rank 10 -12 Victoria Hospital Bangalore Karnataka India.  https://t.co/OC1dJgF2pZ
O,1389657033155092486,@Tejasvi_Surya 2nd May 9 PM we had the same situation. Not sure if you were ignorant of the data.   All politicians should spend 12 hours at Victoria hospital to know the ground reality.  https://t.co/8Vxp4Et8jD
O,1389179538773471236,"@HinduismReal @HybridMafia99 @KanganaTeam how many came after 2014? just building hospitals wont help you, you need doctors, nurses, para-medicals. Things have speeded up after 2014. Temple building esp. Ram temple is very important to reclaim a part of our history."
N,1390064543930327040,In urgent need of ICU bed in Bangalore for patient with neuro disorder. Antigen is negative but XRay suspects covid. Immediate help is highly appreciated. BBMP not entertaining without RT-PCR report. @WeAreBangalore @DHFWKA @sonalasthana
O,1389221311595966473,"A hospital in B'luru is running out of oxygen. After an SOS, the Deputy Chief Minister tweets that supply will be provided. Volunteers have also reached other to others including KPCC President DK Shivakumar. So far only 15 small cylinders have come, that too from volunteers."
G,1388356113532260352,HOME OXYGEN CONCENTRATOR AVAILABLE IN BENGALURU. Contact details 👇🏼  #HomeOxygenConcentrator #Bengaluru #Bangalore #Covid192021  https://t.co/pGXz7jFsTp
O,1389116376338472961,@raag185 @rahulgrover88 @narendramodi vaccine hesitancy is fig leaf of an excuse? was it? There was concerted effort to discredit the vaccine till feb 21 by media &amp; political leaders. Which astrologer told you that the second wave will be terrible and oxygen will be required?
N,1388922767312003076,@104_GoTN   1. Name: Kasthuri S 2. Age/Gender: 64F 3. Phone No:9994757677 4. Area/District:Tiruvanmayur Chennai 5. RT-PCR : NA 6. Name of the Hospital:NA 7. Current requirement (Beds-Normal/Oxygen/Ventilator): Bed with O2 8. SpO₂ reading:65-71 9. Chest CT Score:13/25 #BedsForTN
O,1388453743625076737,Varun Dhawan Partners With An Initiative To Procure And Donate Oxygen Concentrators   https://t.co/fdBvMkJpr8 #varundhawan #akshaykumar #sunielshetty #aparshaktikhurana
O,1389078298685100037,@hippierani @yadunandan171 @BengaluruSOS @WeAreBangalore Yes 3 hours back....can you check it out now please? Call the hospital....
N,1388945318113333254,@SonuSood SOS my brother is in critical condition and urgently need ICU bed in Delhi . His SPO2 level is less than 70  without oxygen. We tried the whole day but could not get oxygen. His lungs are severely damaged. Please help 9873013703
O,1389138309998280706,@blsanthosh @BJP4India 24 Patients Die In Karnataka Hospital Allegedly Due To Oxygen Shortage  https://t.co/V8KR6iimvg
O,1389160323987361796,@Geosundar07 @Sriganesh012 @skpkaruna Antha amma CK hospital owner.. Athu epdinu STD paththave therium.. Then ippo new face fr BJP now WIN.. +- paaru results therium..
O,1388490984577671175,@tw_100rav @miss_tvis @TimesNow @AamAadmiParty Precise reason why funds were allotted in Dec 2020 to build 8 oxygen plant. Out of which only one was built
G,1389132001815322624,"Telangana - Legend Hospital - Beds Availability ( Normal &amp; Oxygen ) Called &amp; verified at 1:44pm DM if need details.  ( COVID REPORT MANDATORY mentioning condition - stable / not stable , age , SpO2 levels )  https://t.co/7QfPNHvoJ7"
G,1388739310157893634,"Thanks to IntroBot - the AI Community Manager | Getting #CovidIndia  resources like Bed, Oxygen, Vaccine is now possible over @WhatsApp. Just join and search for ""Oxygen Cylinders in Bangalore"" #FightAgainstCOVID19   https://t.co/fLKxEpQYmv"
O,1389193199340515331,@timesofindia Next the DL govt will say.... train se utarva ke hospital tak le jane ka kaam bhi center ka hi hai.. and will file another case for this in HC and SC
G,1388545366388199425,"@TheKoalaKoya KC General Malleswaram has 200 Covid beds and 100 ICU ventilators available if anyone needs. Contact - 080-23344022 This might help, please try."
O,1389616825500016642,"@BBMPCOMM @Randeep_Dev Sir learn from @mybmc ..they have brought down cases to 2k as of today, while BBMP is involved in corruption where fake bookings are made to block ICU beds, oxygen hoardings.. there will more lives lost... please control corruption mafia"
O,1389129278055272449,"CBI KNOWS WHO KILLED SUSHANT  #BREAKING NEWS  #Khelahobe   #khelahogaya   #RajeevMasand’s condition critical, on ventilator after corona infectionGradually, his health deteriorated and the oxygen level went down.    @RTQUEEEEN679 @mamta_kale @IStandWithSSR @itsshilpasamai  https://t.co/YzIc08J6fv"
G,1389878664087568384,"One eg: “Hello everyone, Any one affected from covid-19 needs emergency *  Bed  * ICU bed  can inform me I am currently working with Yuva Raksha from MP TEJASVI SURYA office as volunteer. NISHANTH M V CONTACT NO: 7022716799, 8073014218”"
O,1389517184393752578,"@Tejasvi_Surya Situation out of Control, so many people asking for ICU BEDS, Oxygen etc. BJP karyakarthas become helpless.🙏"
O,1389928422856482820,The second dose vaccination slot for 45+ is available in lot of places across Bangalore. Almost all pvt hospital slots are booked but many open in PHCs.
O,1388359969104285702,How insensitive the administration must be to tell COVID patients asking for oxygen to sit under a peepal tree! State of affairs in UP.  https://t.co/lvFZYmjFZE #CovidIndia
O,1388533334624464899,"How many BJP ministers have gotten treated at @moayush hospitals for Covid , so far ? Can you please share the numbers?"
,1389134159369572356,@ManuKaushik01 @ArvindKejriwal @msisodia @raghav_chadha @srinivasiyc @CharuPragya @AamAadmiParty Sir @GautamGambhir  Please see if you can help this hospital in anyway. A lot of lives at the stake here. 🙏🙏
O,1388718665986580485,Are Oxygen plants not essential in the courts ?
